Geo_FIPS,Geo_NAME,Geo_GEOID,Geo_AREALAND,Geo_AREAWATR,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010
53033005700,"Census Tract 57, King County, Washington",14000US53033005700,5107335,2295838,6633,6633,3363.67,1.971953152,3466,2418,2042,376,528,17,227,180,12,84,3466,3382,303,798,806,593,517,338,27,84
53033005801,"Census Tract 58.01, King County, Washington",14000US53033005801,1779677,301744,5212,5212,7585.094,0.68713716,3404,2359,2036,323,618,41,96,107,37,146,3404,3258,414,1113,620,510,396,136,69,146
53033005802,"Census Tract 58.02, King County, Washington",14000US53033005802,3091582,1156787,5216,5216,4369.729,1.193666534,3631,2258,2037,221,612,65,153,109,11,423,3631,3208,363,610,953,651,535,80,16,423
53033005900,"Census Tract 59, King County, Washington",14000US53033005900,1806158,173889,7705,7705,11048.79,0.697361532,4600,2991,2500,491,326,20,181,541,56,485,4600,4115,632,1396,935,788,281,58,25,485
53033006000,"Census Tract 60, King County, Washington",14000US53033006000,1349233,150279,5564,5564,10680.66,0.520941796,3871,2192,2125,67,921,24,62,125,108,439,3871,3432,332,989,900,596,489,66,60,439
53033006100,"Census Tract 61, King County, Washington",14000US53033006100,1241431,644264,5219,5219,10888.36,0.479319209,3805,2303,2029,274,781,13,381,217,0,110,3805,3695,251,1188,1102,624,329,143,58,110
53033006200,"Census Tract 62, King County, Washington",14000US53033006200,2730880,285632,4063,4063,3853.381,1.054398708,2181,1110,972,138,455,19,171,113,10,303,2181,1878,114,761,483,349,146,8,17,303
53033006300,"Census Tract 63, King County, Washington",14000US53033006300,2306076,3491020,4988,4988,5602.097,0.890380959,2382,1604,1457,147,258,0,40,133,8,339,2382,2043,60,587,706,497,158,27,8,339
53033006400,"Census Tract 64, King County, Washington",14000US53033006400,903649,0,3341,3341,9575.786,0.348900844,1907,1201,1048,153,284,36,83,40,0,263,1907,1644,146,576,384,339,157,26,16,263
53033006500,"Census Tract 65, King County, Washington",14000US53033006500,1147621,0,4449,4449,10040.65,0.443098964,2933,1515,1403,112,500,0,184,459,0,275,2933,2658,285,708,755,622,200,87,1,275
53033006600,"Census Tract 66, King County, Washington",14000US53033006600,1113996,826398,3585,3585,8334.955,0.430116279,2833,1523,1366,157,742,19,122,264,15,148,2833,2685,102,719,946,598,288,17,15,148
53033006700,"Census Tract 67, King County, Washington",14000US53033006700,1278220,102394,7600,7600,15399.47,0.493523522,5468,2484,2199,285,1161,33,194,1137,49,410,5468,5058,286,1774,1212,1137,426,223,0,410
53033006800,"Census Tract 68, King County, Washington",14000US53033006800,718106,0,3206,3206,11563.06,0.277262288,1882,1098,999,99,277,30,26,194,23,234,1882,1648,242,459,348,350,160,89,0,234
53033006900,"Census Tract 69, King County, Washington",14000US53033006900,902889,0,4727,4727,13559.67,0.348607407,2719,1799,1609,190,451,0,83,138,17,231,2719,2488,266,757,503,589,348,25,0,231
53033007000,"Census Tract 70, King County, Washington",14000US53033007000,805962,0,7503,7503,24111.16,0.311183681,5278,2458,2146,312,1489,0,144,870,52,265,5278,5013,582,1684,1175,1134,325,49,64,265
53033007100,"Census Tract 71, King County, Washington",14000US53033007100,862095,0,3780,3780,11356.24,0.332856755,2926,1290,1147,143,694,16,22,675,0,229,2926,2697,117,926,680,459,393,68,54,229
53033007200,"Census Tract 72, King County, Washington",14000US53033007200,1010266,0,6798,6798,17427.82,0.3900659,5300,1399,1153,246,1216,0,33,2351,89,212,5300,5088,560,2076,881,777,594,200,0,212
53033007300,"Census Tract 73, King County, Washington",14000US53033007300,926047,0,5594,5594,15645.42,0.357548761,3329,1129,885,244,483,0,54,1486,53,124,3329,3205,748,1216,415,485,209,89,43,124
53033007401,"Census Tract 74.01, King County, Washington",14000US53033007401,259386,0,5019,5019,50115.08,0.100149499,4084,1456,1334,122,1205,40,92,1111,0,180,4084,3904,244,1033,1070,835,541,110,71,180
53033007402,"Census Tract 74.02, King County, Washington",14000US53033007402,249282,0,5210,5210,54130.81,0.096248322,3993,1089,944,145,1137,0,156,1430,0,181,3993,3812,153,1266,1073,629,444,178,69,181
53033007500,"Census Tract 75, King County, Washington",14000US53033007500,801744,0,7783,7783,25142.54,0.309555102,5729,1869,1779,90,1613,56,197,1606,0,388,5729,5341,579,1768,1343,865,646,112,28,388
